# One Role Entry for: wilderness-encounter (Specific Nearby Feature of Relevance)
INDEX	Specific Nearby Feature of Relevance
1	Overgrown homestead
2	Stream prone to flash-flooding
3	Narrow bridge or beam over deep cleft
4	Box canyon with steep sides
5	Unstable hillside that slides if disturbed
6	Long-lost crash site of a gravflyer
7	Once-inhabited cave or tunnel
8	Steep and dangerous cliff
9	Quicksand-laden swamp or dust pit
10	Ruins of a ghost town or lost hamlet
11	Hunting cabin with necessities
12	Ill-tended graveyard of a lost family stead
13	Narrow pass that’s easily blocked
14	Dilapidated resort building
15	Remote government monitoring outpost
16	Illicit substance farm or processing center
17	Old and forgotten battleground
18	Zone overrun by dangerous plants
19	Thick growth that lights up at a spark
20	Abandoned vehicle
